Term,Final Net Worth,Final Cash,Final Reward,Average Reward,Food Inventory,Fuel Inventory,Clothes Inventory,Water Inventory,ROI
188,169.0,159.35,61.6586,0.0421,0,1,0,0,0.0448
189,109.07,109.07,27.8952,0.0173,0,0,0,0,-0.0
190,222.97,13.54,78.3146,0.0462,0,0,13,0,-0.4942
191,7918.57,2317.23,486.6874,0.3249,0,0,458,0,1.3278
192,409.74,10.9,69.2272,0.042,0,0,26,0,-0.4899
193,594.0,8.53,95.8925,0.0579,0,1,35,0,-1.0195
194,739.98,166.34,95.5336,0.0565,49,2,16,0,-0.5868
195,1955.55,160.91,188.1518,0.13,5,0,122,0,-0.9316
196,205.54,13.78,61.4132,0.0398,0,0,12,0,-0.613
197,15130.17,14408.43,413.5741,0.3216,3,0,0,114,1.8144
198,819.95,240.35,147.2454,0.0951,0,56,0,0,35.3649
199,8214.26,8108.58,527.8478,0.365,2,0,0,18,474.4971
200,1155.72,4.93,160.8005,0.1008,0,0,71,1,-1.0039
201,7971.2,1962.64,462.4443,0.3129,0,0,472,0,-0.0873
202,109.95,39.24,31.8957,0.0166,0,0,3,0,-0.2565
203,1703.38,0.8,208.3444,0.1413,0,0,109,0,-1.0164
204,15088.11,4654.82,572.8775,0.3954,2,0,689,124,0.0
205,8284.69,3.31,427.1396,0.3401,1,0,584,0,-1.0112
206,144.77,144.77,63.441,0.0324,0,0,0,0,0.2432
207,967.76,13.72,205.8077,0.1241,0,0,68,0,-1.0065
208,7486.67,192.91,303.6595,0.2177,3,3,222,181,3.0313
209,1136.14,10.41,167.6885,0.1116,129,0,22,0,-1.0589
210,2149.19,2108.79,237.5314,0.1645,0,4,0,0,309.8966
211,234.65,1.97,44.453,0.0258,0,0,14,0,-1.0573
212,24707.92,24453.26,573.0127,0.3938,0,0,17,0,0.0
213,170.55,98.68,44.6004,0.0216,1,0,3,6,-0.0513
214,87.51,54.96,28.7739,0.0146,5,0,0,0,5.6835
215,167.43,83.43,31.2299,0.0163,14,0,0,0,-0.5478
