#{"t_start": 1729737768.0667076, "env_id": "None"}
r,l,t
36.404522,365,665.179211
36.226295,365,666.116239
36.701724,365,667.941242
36.706905,365,668.878211
36.04366,365,669.812241
36.844714,365,670.698241
36.834568,365,671.597239
36.367251,365,672.475242
36.621642,365,674.343251
36.568456,365,675.211219
35.409804,365,676.10424
36.1569,365,681.04421
35.597517,365,681.981248
36.257504,365,683.836211
36.324689,365,684.728219
36.510105,365,685.611211
36.370756,365,686.49921
35.791881,365,687.369794
36.687643,365,688.275794
36.696928,365,690.140795
35.104804,365,691.040825
36.51358,365,691.993831
36.629773,365,692.911834
36.353928,365,693.895824
35.875503,365,694.810794
35.685075,365,696.649823
36.542283,365,697.55437
36.711219,365,698.494408
36.07924,365,699.332407
35.778656,365,700.233371
35.750216,365,702.115401
35.74899,365,703.036495
36.592302,365,703.973557
35.406506,365,704.907519
36.004134,365,705.826555
36.653385,365,706.66552
36.33304,365,708.52157
36.158225,365,709.366569
36.078316,365,710.301601
36.438353,365,715.5666
36.719318,365,716.48357
36.142487,365,718.309569
36.275336,365,719.255607
36.328816,365,720.203607
35.964693,365,721.1386
36.483705,365,722.05357
36.253728,365,722.982602
36.549239,365,724.8356
35.689902,365,725.82157
36.832771,365,726.674608
36.501946,365,727.577608
36.674814,365,728.48457
36.64116,365,729.293607
36.490037,365,731.115384
36.534973,365,732.098664
36.132278,365,733.043704
36.821716,365,733.918701
36.524478,365,734.724664
36.558963,365,736.600701
36.496124,365,737.499209
36.593506,365,738.379172
36.256605,365,739.284203
36.130561,365,740.164172
36.705025,365,741.073202
36.480238,365,742.951202
36.162386,365,743.941201
36.566167,365,748.923172
36.7596,365,749.742203
36.494019,365,750.682203
36.403382,365,752.564173
36.389453,365,753.376203
36.516303,365,754.30621
36.431153,365,755.188212
36.24226,365,756.126202
36.620413,365,756.993172
36.599815,365,758.761173
36.050369,365,759.702172
36.453103,365,760.524209
36.504888,365,761.428172
36.480839,365,762.336202
36.264678,365,763.226173
36.316721,365,765.095172
36.673827,365,765.989214
36.367233,365,766.957172
36.741771,365,767.735172
35.563851,365,768.676174
36.75111,365,770.455171
33.711542,365,771.459172
36.465664,365,772.342172
36.663634,365,773.222172
36.568758,365,774.127205
34.139411,365,775.055211
36.16491,365,776.933208
36.449225,365,777.904002
36.430022,365,782.934003
36.451325,365,783.896003
36.597882,365,784.813034
36.518081,365,785.777033
36.433912,365,787.601012
36.03024,365,788.419042
36.058339,365,789.240072
36.174759,365,790.12207
36.381954,365,790.953079
36.718113,365,792.812042
36.528637,365,793.760072
36.598098,365,794.593079
36.250922,365,795.474041
36.709323,365,796.376042
36.725215,365,797.234072
36.350439,365,799.187378
36.51602,365,800.07436
36.636204,365,800.909376
36.441663,365,801.761405
36.101439,365,802.638465
36.386924,365,804.523464
36.686994,365,805.476545
36.498805,365,806.369514
36.753506,365,807.249514
36.529461,365,808.119514
36.264698,365,809.012514
35.726233,365,810.840514
36.289472,365,815.683542
36.460447,365,816.551552
36.334092,365,817.424514
36.736281,365,818.375822
36.713865,365,819.248814
36.673187,365,821.014782
36.650428,365,821.938811
36.206313,365,822.706824
36.148151,365,823.632813
36.038119,365,824.551811
36.285354,365,826.422812
36.354225,365,827.36382
35.559747,365,828.292814
36.251536,365,829.26079
36.594148,365,830.203819
36.621247,365,831.042812
36.203468,365,832.976295
36.362942,365,833.883327
36.271677,365,834.755326
36.668982,365,835.524325
36.21807,365,836.510334
36.559346,365,838.317296
35.658732,365,839.163503
36.313749,365,840.153473
36.383531,365,841.038505
36.710807,365,841.983504
36.462298,365,842.939537
36.276875,365,848.825538
36.634783,365,849.640543
36.297996,365,850.562536
35.973602,365,851.547536
35.105801,365,852.432511
36.690474,365,853.350559
36.000438,365,855.226558
35.131047,365,856.198559
36.269861,365,857.145589
36.307695,365,858.075584
36.698629,365,858.944559
36.34576,365,860.786589
35.704794,365,861.734558
36.613135,365,862.611584
36.516588,365,863.568559
36.055175,365,864.492559
36.392465,365,865.452559
35.940824,365,867.340624
36.457179,365,868.183631
36.484438,365,869.070599
36.531981,365,869.945637
36.749391,365,870.783629
36.503554,365,872.6336
36.551719,365,873.532599
36.55593,365,874.385641
36.341009,365,875.303623
36.5098,365,876.186599
36.606813,365,877.113599
36.719586,365,882.966624
36.760775,365,883.936599
36.34812,365,884.784599
35.984333,365,885.72963
36.19226,365,886.652599
36.621494,365,887.5876
35.17087,365,889.457626
36.734857,365,890.294599
36.509894,365,891.21063
36.595873,365,892.127599
35.392687,365,893.085599
36.500743,365,894.999599
36.575534,365,895.807599
36.525091,365,896.741637
36.2962,365,897.607623
36.306049,365,898.448599
35.323737,365,899.409631
36.320645,365,901.328599
36.536383,365,902.223624
36.376463,365,903.182657
36.686982,365,904.102631
36.416431,365,905.072631
36.205699,365,905.974631
36.292776,365,907.795655
36.540658,365,908.628631
36.685163,365,909.518631
36.554523,365,910.425661
36.597412,365,915.380662
36.624437,365,917.276663
36.647693,365,918.241204
36.284271,365,919.199203
35.452414,365,920.125204
35.924332,365,921.061235
36.337503,365,921.908232
35.929117,365,923.777713
